Unique station number,Unique sample event number,State,method,Stream_Name,EPA assigned site number,Sample_Date.1,BobN,DaveN,DonC,DougB,Ernie,Guy,HilaryS,LeonT,Mike,SteveF,SusanD,Fuzzy Model,total Ind,total taxa,PCAtt2,Att2 taxa,PCAtt3,Att3 taxa,PCAtt4,Att4 taxa,PCAtt5,Att5 taxa,PCAtt6,Att6 taxa,PCephem,ephem taxa,PC pleco,pleco taxa,PC Tricho,tricho taxa,PCHydro,PCtubi,PCnonins
159,159,VT,20 random toss 4m2 area,Mettawee River,EPA HEX 28.05 VT,8/16/2001,,,2.8,3.2,2.5,2.8,,,3.2,3.8,,3,214,29,0.126168224,7,0.313084112,7,0.523364486,11,0.009345794,2,0,0,38.78504673,3,10.28037383,4,18.22429907,5,0.009345794,0,0.018691589
160,160,VT,20 random toss 4m2 area,Miles Stream,VT HEX 8.02 (2005),8/6/2003,,,,3.5,,,,,,3.8,,3,217,48,0.050691244,6,0.387096774,17,0.377880184,19,0.138248848,6,0,0,15.20737327,6,3.686635945,4,17.97235023,9,0.096774194,0,0.004608295
161,161,CT,20 random toss 4m2 area,Mill Brook,EPA HEX 35.04 CT,10/23/2001,,,3.5,3.2,3.5,3.5,,,3.2,4.8,,3,200,42,0.025,2,0.51,15,0.375,17,0.05,6,0,0,7.5,3,37,5,4.5,4,0,0,0.055
162,162,ME,20 random toss 4m2 area,Mill Brook,ME HEX 55.02,7/17/2003,,,,,,,3.5,2.5,,,3.5,3,523,71,0.059273423,5,0.210325048,17,0.653919694,38,0.055449331,8,0,0,17.01720841,7,4.780114723,2,12.42829828,10,0.019120459,0,0.216061185
163,163,NH,20 random toss 4m2 area,Mill Brook,NH HEX 58.03,6/25/2003,,4.8,,,,,,,,,,5,197,48,0.030456853,3,0.14213198,11,0.725888325,27,0.055837563,6,0,0,0.507614213,1,1.52284264,1,3.553299492,4,0.015228426,0,0.076142132
164,164,VT,20 random toss 4m2 area,Mill Brook (Rupert VT),VT HEX 10.01 (RD) (2004),7/9/2003,,,,5.2,,,,,,4.5,,3,215,38,0.051162791,4,0.358139535,8,0.488372093,22,0.060465116,3,0,0,4.186046512,2,3.720930233,2,8.372093023,7,0.018604651,0,0.013953488
165,165,VT,20 random toss 4m2 area,Mill Brook (Fairfax VT),VT HEX 13.03 (RD) (2004),7/3/2002,,,,3.8,,,,,,4.5,,4,205,46,0.024390244,4,0.312195122,9,0.585365854,27,0.073170732,6,0,0,6.341463415,5,0.975609756,2,5.365853659,2,0.053658537,0,0.014634146
167,167,VT,20 random toss 4m2 area,Mill River (Georgia VT),VT HEX 4.01 (2004),8/6/2002,,,,5.2,,,,,,4.8,,5,193,31,0.010362694,1,0.398963731,8,0.518134715,16,0.062176166,5,0,0,11.91709845,4,4.14507772,1,2.590673575,4,0.015544041,0.005181347,0.005181347
169,169,VT,20 random toss 4m2 area,Miller Run,EPA HEX 18.01 VT,9/23/2001,,,,3.8,3.2,3.2,,,2.5,4.5,3.8,3,206,49,0.155339806,5,0.126213592,11,0.538834951,24,0.140776699,8,0,0,16.01941748,7,0,0,24.75728155,14,0.072815534,0,0.048543689
172,172,VT,20 random toss 4m2 area,Morril Brook,VT HEX 15.01 (2005),8/21/2003,,,,3.5,,,,,,3.8,,3,214,48,0.051401869,4,0.392523364,20,0.425233645,19,0.079439252,4,0,0,8.411214953,7,6.074766355,4,25.23364486,8,0.088785047,0,0.023364486
175,175,VT,20 random toss 4m2 area,Mosher Meadow Brook,VT HEX 15.01 (2004),8/21/2003,,,,3.8,,,,,,3.5,,2,239,49,0.09623431,7,0.40167364,16,0.418410042,22,0.075313808,4,0,0,24.26778243,5,3.765690377,4,16.73640167,10,0.066945607,0,0.054393305
176,176,VT,20 random toss 4m2 area,Mount Tabor Brook,VT HEX 11.01,7/1/2003,,,,3.8,,,,,,3.5,,2,180,37,0.027777778,4,0.594444444,15,0.322222222,15,0.011111111,1,0,0,15.55555556,8,2.222222222,2,15,5,0.011111111,0,0.011111111
180,180,ME,20 random toss 4m2 area,Musquash Brook,EPA HEX 7.07 ME,7/30/2003,,4.2,,2.8,3.5,3.2,,,3.5,4.5,,2,227,52,0.193832599,9,0.378854626,16,0.392070485,23,0.030837004,3,0,0,10.57268722,8,13.65638767,6,15.4185022,8,0.017621145,0,0.026431718
181,181,ME,20 random toss 4m2 area,Narraguagus River,EPA HEX 21.10 ME (A),7/23/2001,,,4.5,4.8,3.8,3.2,,,4.2,4.2,,,223,34,0.067264574,5,0.080717489,9,0.780269058,14,0.040358744,5,0,0,8.071748879,5,1.34529148,2,8.968609865,9,0.022421525,0,0.112107623
182,182,CT,riffle targeted kick net 2m2 area,Natchaug River,CT HEX 20,10/18/2002,,,,,3.2,2.5,,,2.5,,,2,233,41,0.068669528,10,0.356223176,13,0.47639485,14,0.094420601,4,0,0,36.05150215,11,1.716738197,2,27.03862661,12,0.090128755,0,0.025751073
185,185,CT,15 random toss 3m2 area,Neck River,CT HEX 57.04,10/9/2002,,,,,5.2,4.8,,,4.8,,,4,200,49,0.145,4,0.09,9,0.445,23,0.255,9,0,0,16.5,4,0.5,1,9.5,8,0.01,0.135,0.48
187,187,ME,20 random toss 4m2 area,New Brook,EPA HEX 22.09 ME,8/3/2001,,,,3.5,5.2,4.5,,,4.2,3.5,5.2,,195,48,0.005128205,1,0.097435897,8,0.758974359,29,0.061538462,7,0,0,4.102564103,3,0,0,9.743589744,6,0.056410256,0.015384615,0.174358974
188,188,NH,20 random toss 4m2 area,Newell Brook,NH HEX 9.05,7/24/2002,,,4.5,,,,,,,,1.5,2,206,33,0.257281553,4,0.27184466,9,0.398058252,14,0.024271845,4,0,0,24.27184466,5,2.912621359,2,25.72815534,5,0.009708738,0,0.029126214
191,191,VT,20 random toss 4m2 area,North Branch Ball Mountain Brook,VT HEX 8.02,9/2/2003,,,,3.5,,,,,,3.8,,2,219,39,0.205479452,7,0.315068493,14,0.269406393,13,0.164383562,5,0,0,29.22374429,7,4.109589041,3,40.1826484,9,0.159817352,0,0.01369863
193,193,ME,20 random toss 4m2 area,North Branch Meduxnekeag River,EPA HEX 5.07 ME,7/28/2003,3.8,,,3.2,2.5,2.5,,,2.8,3.5,,2,251,51,0.183266932,7,0.490039841,16,0.258964143,24,0.039840637,3,0,0,21.9123506,12,7.171314741,3,6.772908367,7,0.019920319,0,0.051792829
194,194,NH,20 random toss 4m2 area,North Branch River,NH HEX 4.04,7/30/2002,2.8,,,3.5,2.5,3.2,,,2.5,4.2,,3,171,43,0.140350877,8,0.321637427,6,0.391812865,17,0.099415205,7,0,0,4.678362573,3,11.69590643,5,6.432748538,4,0.005847953,0,0.064327485
200,200,NH,20 random toss 4m2 area,Otter Brook,NH HEX 51.04,8/6/2002,,,4.2,,,,,,,,3.8,3,219,44,0.04109589,3,0.333333333,14,0.511415525,20,0.100456621,6,0,0,6.849315068,2,4.109589041,2,14.15525114,8,0.068493151,0,0.02283105
213,213,RI,20 random toss 4m2 area,Peeptoad Brook,RSD45,8/11/2000,,,,4.2,3.5,3.5,,3.8,4.8,4.8,,3,224,48,0.071428571,4,0.1875,11,0.65625,28,0.026785714,5,0,0,11.60714286,3,0.892857143,1,12.5,9,0.004464286,0.004464286,0.294642857
215,215,ME,20 random toss 4m2 area,Petite Brook,EPA HEX 1.08 ME,7/24/2002,3.5,,,3.5,2.5,3.2,,,3.2,3.2,,3,202,45,0.03960396,6,0.400990099,11,0.49009901,23,0.02970297,3,0,0,19.8019802,5,2.97029703,2,9.405940594,9,0.004950495,0,0.054455446
216,216,VT,20 random toss 4m2 area,Pherrins River,VT HEX 8.01 (2004),8/20/2003,,,,3.8,,,,,,3.5,,3,200,51,0.04,5,0.195,15,0.645,21,0.11,9,0,0,24.5,7,0.5,1,12.5,10,0.025,0.01,0.035
217,217,NH,20 random toss 4m2 area,Piscataquog River,NH HEX 45.04,7/10/2002,,,4.2,,,,,,,,3.5,4,190,43,0.005263158,1,0.136842105,11,0.731578947,21,0.1,10,0,0,13.15789474,7,2.105263158,1,12.10526316,9,0.031578947,0,0.542105263
222,222,NH,20 random toss 4m2 area,Poland Brook,NH HEX 30.02,7/15/2003,,3.5,,,,,,,,,,,219,44,0.01369863,3,0.050228311,6,0.662100457,22,0.242009132,12,0,0,7.762557078,6,0,0,2.283105023,3,0,0.00456621,0.105022831
228,228,NH,20 random toss 4m2 area,Purgatory Brook,NH HEX 53.01,7/19/2002,,,4.2,,,,,,,,2.8,3,214,43,0.11682243,3,0.327102804,13,0.439252336,19,0.088785047,7,0,0,7.476635514,4,11.21495327,3,8.878504673,6,0.060747664,0,0.051401869
231,231,NH,20 random toss 4m2 area,Riddle Brook,NH HEX 54.01,7/8/2003,,5.8,,,,,,,,,,,213,44,0.004694836,1,0.03286385,4,0.676056338,24,0.201877934,9,0,0,3.755868545,4,0,0,0.469483568,1,0.004694836,0.089201878,0.497652582
232,232,ME,20 random toss 4m2 area,River De Chute,EPA HEX 5.02 ME,7/20/2001,,,,3.8,2.8,3.8,,,4.5,3.5,1.8,,207,44,0.043478261,5,0.342995169,13,0.516908213,19,0.048309179,4,0,0,13.04347826,5,3.8647343,3,5.797101449,3,0.038647343,0,0.154589372
233,233,NH,20 random toss 4m2 area,Roaring Brook,NH HEX 8.02,7/30/2002,,4.2,,3.8,3.5,3.5,,,3.8,4.8,,3,190,47,0.057894737,4,0.168421053,12,0.689473684,25,0.073684211,5,0,0,6.315789474,6,4.210526316,2,9.473684211,9,0.052631579,0,0.036842105
245,245,CT,20 random toss 4m2 area,Saugatuck River,EPA HEX 39.01 CT,10/24/2001,,,4.5,3.8,3.5,3.8,,,3.5,4.5,,5,218,35,0.009174312,1,0.5,8,0.371559633,21,0.077981651,4,0,0,13.76146789,4,28.44036697,2,17.43119266,9,0.036697248,0,0.068807339
250,250,MA,20 random toss 4m2 area,Sawmill River,EPA HEX 32.06 MA,8/30/2001,,,,3.8,3.5,3.8,,,4.5,4.5,3.2,5,236,39,0.016949153,2,0.13559322,6,0.610169492,21,0.161016949,8,0,0,16.52542373,4,0.847457627,1,17.37288136,6,0.139830508,0.004237288,0.101694915
252,252,ME,20 random toss 4m2 area,Schoodic Brook,EPA HEX 13.02 ME,7/24/2001,,,3.8,3.5,3.5,3.2,,,3.5,2.8,,,203,49,0.073891626,6,0.137931034,6,0.610837438,28,0.147783251,6,0,0,21.67487685,8,0.985221675,1,20.68965517,7,0.133004926,0,0.157635468
253,253,VT,20 random toss 4m2 area,Seaver Brook,VT HEX 2.03,7/2/2002,,,,4.2,,,,,,4.2,,3,274,48,0.010948905,3,0.189781022,17,0.532846715,21,0.248175182,6,0,0,23.35766423,6,3.649635036,4,16.42335766,7,0.109489051,0,0.01459854
260,260,NH,20 random toss 4m2 area,Simms Stream,NH HEX 5.04,7/30/2002,,3.5,,3.2,3.2,3.2,,,3.2,3.8,,3,232,44,0.142241379,6,0.344827586,12,0.400862069,21,0.047413793,4,0,0,37.93103448,9,5.603448276,4,16.37931034,6,0.099137931,0,0.034482759
263,263,ME,20 random toss 4m2 area,Snare Brook,EPA HEX 4.01 ME (A),7/19/2001,,,,3.8,3.8,3.8,,,3.5,4.5,3.5,3,214,31,0.093457944,4,0.668224299,12,0.205607477,14,0,0,0,0,6.074766355,4,3.738317757,3,8.411214953,6,0,0,0.051401869
264,264,NH,20 random toss 4m2 area,Souhegan River,NH HEX 59.03,8/8/2002,,,4.2,,,,,,,,3.8,5,212,36,0,0,0.108490566,7,0.594339623,24,0.183962264,5,0,0,8.490566038,4,0,0,35.8490566,8,0.297169811,0,0.183962264
266,266,ME,20 random toss 4m2 area,Spruce Brook,EPA HEX 14.10 ME,7/22/2001,,,,4.5,3.5,3.8,,3.2,3.5,4.2,,3,224,46,0.116071429,5,0.330357143,14,0.473214286,23,0.022321429,2,0,0,7.142857143,4,8.482142857,3,8.928571429,9,0.017857143,0,0.026785714
268,268,CT,20 random toss 4m2 area,Steele Brook,EPA HEX 40.03 CT,10/10/2001,,,,3.5,3.5,3.5,,,3.2,3.8,2.5,3,225,41,0.08,3,0.284444444,11,0.44,20,0.102222222,6,0,0,17.33333333,4,10.22222222,3,22.22222222,9,0.08,0,0.071111111
272,273,MA,20 random toss 4m2 area,Stop River,EPA HEX 37.01 MA,7/17/2002,3.5,,,4.8,4.5,5.2,,,5.2,4.8,,,203,41,0.024630542,3,0.083743842,5,0.699507389,23,0.113300493,6,0,0,6.403940887,3,0.492610837,1,22.16748768,5,0.113300493,0,0.162561576
278,278,ME,20 random toss 4m2 area,Teddy's Brook,EPA HEX 25.03 ME,8/7/2002,,4.8,,3.8,3.8,4.2,,,4.5,3.8,,,234,36,0.008547009,2,0.277777778,8,0.564102564,21,0.051282051,4,0,0,7.692307692,3,0.854700855,1,16.66666667,8,0.111111111,0,0.072649573
282,282,ME,20 random toss 4m2 area,Togus Stream,EPA HEX 26.11 ME,9/24/2001,,,4.2,3.5,3.2,2.8,,,3.8,3.2,,3,238,52,0.105042017,6,0.285714286,9,0.399159664,27,0.142857143,6,0,0,10.50420168,4,0,0,33.61344538,18,0.033613445,0,0.121848739
285,285,VT,20 random toss 4m2 area,Trib To Green River,VT HEX 6.02,7/14/2003,,,,3.8,,,,,,3.8,,,213,43,0.211267606,9,0.305164319,14,0.417840376,17,0.042253521,3,0,0,6.572769953,5,18.77934272,7,10.79812207,7,0.03286385,0,0.014084507
286,286,VT,20 random toss 4m2 area,Trout Brook,EPA HEX 9.01 VT,7/31/2002,,4.5,,3.5,3.8,4.5,,,4.2,4.8,,5,209,38,0.023923445,4,0.124401914,4,0.645933014,25,0.114832536,5,0,0,11.48325359,4,0.956937799,1,23.92344498,8,0.162679426,0,0.071770335
291,291,VT,20 random toss 4m2 area,Wardsboro Brook Trib #5,VT HEX 8.01,6/30/2003,,,,2.5,,,,,,2.5,,3,214,43,0.238317757,9,0.373831776,14,0.345794393,16,0,0,0,0,14.48598131,5,3.738317757,3,14.95327103,8,0,0,0.037383178
292,292,NH,20 random toss 4m2 area,Warren Brook,EPA HEX 29.07 NH,8/8/2001,,,,3.5,3.2,3.2,,,3.8,3.8,2.8,3,203,46,0.073891626,7,0.231527094,17,0.610837438,19,0.019704433,2,0,0,11.8226601,7,3.9408867,3,9.359605911,8,0.014778325,0,0.004926108
299,299,CT,20 random toss 4m2 area,West Branch Shepaug,EPA HEX 35.05 CT,8/8/2002,,4.2,,3.5,3.5,3.8,,,3.8,3.5,,2,202,49,0.099009901,5,0.400990099,18,0.405940594,18,0.034653465,4,0,0,3.96039604,3,3.96039604,4,8.910891089,7,0.004950495,0,0.02970297
300,300,VT,20 random toss 4m2 area,Whitman Brook Trib # 1,VT HEX 5.01 (RD),7/25/2002,,,,3.8,,,,,,3.5,,3,231,40,0.069264069,5,0.398268398,15,0.393939394,16,0.090909091,3,0,0,6.493506494,4,7.359307359,5,16.88311688,6,0.103896104,0,0.012987013
302,302,CT,20 random toss 4m2 area,Willimantic River,EPA HEX 36.03 CT,10/9/2001,,,,4.5,4.5,4.5,,3.8,5.2,5.2,,5,192,29,0,0,0.109375,6,0.375,17,0.494791667,5,0,0,11.45833333,5,1.041666667,1,60.41666667,8,0.473958333,0,0.098958333
303,303,VT,20 random toss 4m2 area,Willoughby River,EPA HEX 10.01 VT,9/22/2001,,,,2.5,3.2,2.8,,2.2,3.5,3.5,,2,225,49,0.186666667,9,0.235555556,13,0.431111111,21,0.133333333,5,0,0,22.22222222,7,2.222222222,3,40,14,0.106666667,0,0.048888889
305,305,NH,20 random toss 4m2 area,Winnicut River,NH HEX 48.04,7/1/2003,,5.2,,,,,,,,,,,277,25,0,0,0.003610108,1,0.924187726,17,0.057761733,6,0,0,0,0,0,0,1.083032491,1,0,0,0.823104693
306,306,VT,20 random toss 4m2 area,Winooski River,EPA HEX 16.07 VT (A),8/14/2001,,,,4.8,4.5,4.5,,,5.5,3.8,3.5,,240,26,0.020833333,2,0.054166667,3,0.5625,16,0.341666667,5,0,0,20.83333333,4,0,0,58.33333333,10,0.4375,0,0.008333333
308,308,VT,20 random toss 4m2 area,Winooski River (east),EPA HEX 17.02 VT (A),8/14/2001,,,,4.8,4.5,4.2,,,5.2,5.5,3.5,,201,35,0.019900498,2,0.109452736,7,0.407960199,16,0.417910448,9,0,0,9.452736318,5,0,0,0,0,0,0.029850746,0.059701493
311,311,ME,20 random toss 4m2 area,Youngs Brook,EPA HEX 5.02 MAINE,7/23/2002,,4.2,,3.8,3.5,3.5,,,4.2,4.2,,3,218,39,0.036697248,4,0.30733945,14,0.555045872,19,0.018348624,2,0,0,18.34862385,4,3.669724771,3,11.9266055,8,0.064220183,0,0.027522936
328,328,CT,riffle targeted kick net 2m2 area,Eight Mile River,18,10/17/2003,,,,,3.8,3.2,,,3.2,,,3,219,42,0,0,0.497716895,13,0.246575342,22,0.214611872,6,0,0,13.24200913,4,5.936073059,3,40.1826484,7,0.191780822,0,0.091324201
329,329,CT,riffle targeted kick net 2m2 area,Green Fall River,245,10/7/2003,,,,,3.8,3.2,,,2.5,,,3,232,42,0.051724138,7,0.340517241,17,0.512931034,15,0.094827586,3,0,0,14.22413793,3,5.603448276,3,30.17241379,13,0.094827586,0,0.00862069
330,330,CT,riffle targeted kick net 2m2 area,Mashamoquet Brook,224_CT,10/22/2002,,,,,3.8,2.8,,,3.2,,,2,217,43,0.105990783,4,0.331797235,16,0.525345622,20,0.023041475,3,0,0,22.58064516,8,8.294930876,3,18.43317972,10,0.01843318,0,0.01843318
331,331,CT,riffle targeted kick net 2m2 area,Neck River,259_CT,10/9/2002,,,,,3.8,3.8,,,3.5,,,2,200,44,0.185,5,0.355,14,0.3,19,0.14,4,0,0,15,4,5,4,16.5,11,0.035,0,0.14
332,332,CT,riffle targeted kick net 2m2 area,Quaker Brook,234,10/20/2003,,,,,3.5,3.8,,,3.8,,,3,215,35,0.004651163,1,0.679069767,16,0.28372093,15,0.03255814,3,0,0,25.58139535,2,7.906976744,3,28.8372093,10,0.041860465,0,0.051162791
333,333,CT,riffle targeted kick net 2m2 area,Sandy Brook,21,11/12/2003,,,,,2.8,2.5,,,3.2,,,2,219,37,0.315068493,7,0.484018265,15,0.155251142,12,0.0456621,3,0,0,47.48858447,9,6.849315068,2,28.31050228,13,0.0456621,0,0.03652968
335,334,CT,riffle targeted kick net 2m2 area-split in field,Saugatuck River,50_CT,11/5/2002,,,,,4.5,3.8,,,4.5,,,5,220,27,0,0,0.436363636,11,0.240909091,11,0.318181818,4,0,0,44.54545455,5,2.272727273,2,35.90909091,7,0.309090909,0,0.054545455
335,335,CT,riffle targeted kick net 2m2 area,Saugatuck River,50_CT,10/14/2003,,,,,4.5,4.2,,,4.8,,,5,214,25,0,0,0.630841121,10,0.186915888,11,0.182242991,4,0,0,34.11214953,4,29.43925234,3,27.10280374,5,0.177570093,0,0.018691589
336,336,CT,riffle targeted kick net 2m2 area,Shepaug River,25,10/20/2003,,,,,3.8,3.8,,,4.2,,,3,231,31,0.004329004,1,0.471861472,11,0.38961039,14,0.134199134,5,0,0,26.40692641,6,5.194805195,3,22.94372294,6,0.121212121,0,0.112554113
337,337,CT,riffle targeted kick net 2m2 area,Titicus River,235,10/20/2003,,,,,3.8,4.2,,,3.8,,,3,253,33,0.015810277,3,0.403162055,13,0.347826087,13,0.229249012,4,0,0,28.85375494,2,9.090909091,4,31.22529644,9,0.213438735,0,0.031620553
339,339,CT,riffle targeted kick net 2m2 area,Whitford Brook,250,10/9/2003,,,,,3.8,3.2,,,3.2,,,3,219,41,0.02283105,3,0.273972603,14,0.497716895,19,0.205479452,5,0,0,4.566210046,4,5.02283105,2,55.25114155,12,0.223744292,0,0.082191781
80,340,CT,20 random toss 4m2 area,Ekonk River,CT HEX 25.03,10/6/2003,,,,,3.8,2.5,,,5.2,,,3,222,50,0.040540541,3,0.292792793,18,0.567567568,25,0.094594595,4,0,0,16.21621622,8,4.054054054,3,20.72072072,7,0.085585586,0,0.09009009
244,341,CT,20 random toss 4m2 area,Sandy Brook,CT HEX 3.01,11/12/2003,,,,,3.2,2.5,,,3.2,,,2,220,41,0.318181818,7,0.359090909,18,0.231818182,12,0.081818182,4,0,0,39.09090909,8,8.636363636,7,21.36363636,9,0.072727273,0,0.063636364
243,342,CT,riffle targeted kick net 2m2 area,Salmon River,CT HEX 17A,10/8/2003,,,,,3.2,2.8,,,2.8,,,2,220,36,0.336363636,5,0.218181818,13,0.386363636,15,0.059090909,3,0,0,6.818181818,6,4.090909091,1,59.54545455,14,0.059090909,0,0.077272727
118,343,CT,20 random toss 4m2 area,Indian Meadow Brook,CT HEX 11.02,10/22/2003,,,,,3.2,2.2,,,2.5,,,2,230,51,0.234782609,8,0.460869565,24,0.256521739,15,0.039130435,4,0,0,30.43478261,8,14.34782609,7,19.13043478,13,0.060869565,0,0.108695652
6,367,VT,riffle targeted kick net 1m2 area,Andover Branch,VT HEX 12.01,9/2/2003,,,,2.5,,,,,,2.8,,2,723,47,0.110650069,6,0.658367911,19,0.135546335,19,0.094052559,2,0,0,23.09820194,6,12.17150761,7,25.17289073,6,0.060857538,0,0.026279391
11,368,VT,riffle targeted kick net 1m2 area,Batten Kill River,VT HEX 7.01,9/3/2003,,,,3.2,,,,,,3.8,,3,648,45,0.069444444,5,0.174382716,16,0.544753086,19,0.208333333,4,0,0,27.4691358,7,1.388888889,3,23.14814815,11,0.13117284,0,0.021604938
27,369,VT,riffle targeted kick net 1m2 area,Blood Brook,VT HEX 13.03,7/3/2003,,,,2.8,,,,,,3.2,,2,314,43,0.251592357,8,0.48089172,15,0.213375796,16,0.044585987,2,0,0,16.56050955,5,21.01910828,9,37.89808917,9,0.114649682,0,0.070063694
74,370,VT,riffle targeted kick net 1m2 area,East Branch North River,VT HEX 2.01,7/14/2003,,,,2.8,,,,,,3.2,,2,1161,58,0.181739879,10,0.406546081,24,0.261843239,19,0.142980189,5,0,0,39.27648579,8,4.220499569,8,27.47631352,9,0.136950904,0,0.010335917
93,371,VT,riffle targeted kick net 1m2 area,Gihon River,VT HEX 14.02 (RD),,,,,3.2,,,,,,3.5,,3,731,38,0.079343365,5,0.238030096,13,0.482900137,15,0.198358413,4,0,0,36.6621067,8,3.146374829,6,36.6621067,6,0.192886457,0,0
103,373,VT,riffle targeted kick net 1m2 area,Hancock Brook,VT HEX 1.01 (RD),7/29/2003,,,,3.5,,,,,,3.5,,3,521,44,0.088291747,6,0.211132438,18,0.504798464,15,0.190019194,3,0,0,2.303262956,4,13.62763916,7,24.37619962,6,0.165067179,0,0.017274472
115,374,VT,riffle targeted kick net 1m2 area,Hubbard Brook,VT HEX 14.02,7/8/2003,,,,3.2,,,,,,3.5,,2,344,36,0.281976744,7,0.433139535,14,0.255813953,12,0.026162791,2,0,0,32.84883721,4,16.56976744,7,27.90697674,8,0.046511628,0,0.130813953
130,375,VT,riffle targeted kick net 1m2 area,Kent Pond Outlet,VT HEX 4.01 (RD),,,,,4.8,,,,,,5.2,,5,190,27,0,0,0.284210526,6,0.442105263,14,0.268421053,6,0,0,2.105263158,1,0.526315789,1,10,3,0.084210526,0,0.010526316
160,376,VT,riffle targeted kick net 1m2 area,Miles Stream,VT HEX 8.02 (2005),8/6/2003,,,,2.5,,,,,,3.2,,2,450,49,0.128888889,7,0.442222222,19,0.284444444,19,0.144444444,4,0,0,42.88888889,8,4.222222222,6,26.44444444,10,0.135555556,0,0.002222222
165,377,VT,riffle targeted kick net 1m2 area,Mill Brook (Fairfax VT),VT HEX 13.03 (RD) (2004),,,,,3.5,,,,,,3.8,,3,458,43,0.043668122,4,0.22489083,12,0.401746725,21,0.329694323,6,0,0,9.6069869,3,13.31877729,4,32.7510917,7,0.296943231,0,0.008733624
164,378,VT,riffle targeted kick net 1m2 area,Mill Brook (Rupert VT),VT HEX 10.01 (RD) (2004),7/9/2003,,,,3.5,,,,,,3.8,,3,938,42,0.085287846,7,0.192963753,15,0.360341151,16,0.361407249,4,0,0,16.84434968,5,7.8891258,5,44.24307036,9,0.356076759,0,0.001066098
167,379,VT,riffle targeted kick net 1m2 area,Mill River (Georgia VT),VT HEX 4.01 (2004),,,,,3.2,,,,,,3.8,,3,294,35,0.098639456,3,0.530612245,15,0.204081633,14,0.074829932,2,0,0,5.442176871,3,32.31292517,6,12.92517007,6,0.074829932,0,0.003401361
